,event_id,store_id,campaign_id,product_code,base_price(before_promo),quantity_sold(before_promo),promo_type,base_price(after_promo),quantity_sold(after_promo),category,product_name
28,decd5e,STMDU-2,CAMP_SAN_01,P10,50,21.0,25% OFF,37,17,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
29,a0da88,STMLR-2,CAMP_DIW_01,P03,156,204.0,25% OFF,117,175,Grocery & Staples,Atliq_Suflower_Oil (1L)
30,67820e,STBLR-0,CAMP_SAN_01,P10,50,31.0,25% OFF,37,25,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
31,97ad03,STCBE-1,CAMP_SAN_01,P02,860,379.0,33% OFF,576,462,Grocery & Staples,Atliq_Sonamasuri_Rice (10KG)
32,d04921,STMLR-1,CAMP_DIW_01,P10,65,50.0,50% OFF,32,68,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
33,029ff8,STMLR-0,CAMP_SAN_01,P01,172,169.0,33% OFF,115,236,Grocery & Staples,Atliq_Masoor_Dal (1KG)
34,b4867e,STCHE-6,CAMP_SAN_01,P11,190,57.0,50% OFF,95,79,Personal Care,Atliq_Doodh_Kesar_Body_Lotion (200ML)
35,7f6f08,STBLR-7,CAMP_SAN_01,P05,55,24.0,25% OFF,41,20,Home Care,Atliq_Scrub_Sponge_For_Dishwash
36,b8f698,STMDU-3,CAMP_DIW_01,P10,65,68.0,50% OFF,32,76,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
37,debbd7,STCBE-0,CAMP_SAN_01,P11,190,45.0,50% OFF,95,72,Personal Care,Atliq_Doodh_Kesar_Body_Lotion (200ML)
38,5.23E+42,STCHE-5,CAMP_DIW_01,P15,3000,388.0,500 Cashback,2500,1187,Combo1,Atliq_Home_Essential_8_Product_Combo
39,911349,STHYD-0,CAMP_DIW_01,P15,3000,397.0,500 Cashback,2500,1214,Combo1,Atliq_Home_Essential_8_Product_Combo
40,46d57b,STBLR-9,CAMP_DIW_01,P13,350,94.0,BOGOF,175,329,Home Appliances,Atliq_High_Glo_15W_LED_Bulb
41,9acae6,STMYS-0,CAMP_DIW_01,P05,55,73.0,25% OFF,41,65,Home Care,Atliq_Scrub_Sponge_For_Dishwash
42,a216f7,STCBE-2,CAMP_DIW_01,P06,415,77.0,25% OFF,311,68,Home Care,Atliq_Fusion_Container_Set_of_3
43,607c9d,STCHE-2,CAMP_SAN_01,P02,860,556.0,33% OFF,576,711,Grocery & Staples,Atliq_Sonamasuri_Rice (10KG)
44,5.80E+27,STMYS-2,CAMP_DIW_01,P07,300,73.0,BOGOF,150,215,Home Care,Atliq_Curtains
45,291ddf,STCBE-1,CAMP_SAN_01,P03,200,267.0,BOGOF,100,1054,Grocery & Staples,Atliq_Suflower_Oil (1L)
46,dc07e1,STMYS-2,CAMP_SAN_01,P06,415,31.0,25% OFF,311,26,Home Care,Atliq_Fusion_Container_Set_of_3
47,1b1cf1,STBLR-8,CAMP_DIW_01,P09,110,61.0,50% OFF,55,77,Personal Care,Atliq_Body_Milk_Nourishing_Lotion (120ML)
48,e2abd2,STCHE-3,CAMP_DIW_01,P09,110,73.0,50% OFF,55,92,Personal Care,Atliq_Body_Milk_Nourishing_Lotion (120ML)
49,2384f8,STMYS-0,CAMP_DIW_01,P09,110,70.0,50% OFF,55,87,Personal Care,Atliq_Body_Milk_Nourishing_Lotion (120ML)
50,9c74f7,STBLR-9,CAMP_DIW_01,P09,110,71.0,50% OFF,55,90,Personal Care,Atliq_Body_Milk_Nourishing_Lotion (120ML)
51,b76f57,STBLR-8,CAMP_DIW_01,P13,350,66.0,BOGOF,175,220,Home Appliances,Atliq_High_Glo_15W_LED_Bulb
52,f32df2,STHYD-6,CAMP_DIW_01,P04,290,390.0,25% OFF,217,339,Grocery & Staples,Atliq_Farm_Chakki_Atta (1KG)
53,078a6a,STMDU-0,CAMP_SAN_01,P09,90,57.0,25% OFF,67,47,Personal Care,Atliq_Body_Milk_Nourishing_Lotion (120ML)
54,35e1c7,STBLR-1,CAMP_DIW_01,P14,1020,54.0,BOGOF,510,169,Home Appliances,Atliq_waterproof_Immersion_Rod
55,ff02ae,STCBE-3,CAMP_DIW_01,P11,190,66.0,50% OFF,95,102,Personal Care,Atliq_Doodh_Kesar_Body_Lotion (200ML)
56,2177f8,STMDU-0,CAMP_DIW_01,P04,290,234.0,25% OFF,217,208,Grocery & Staples,Atliq_Farm_Chakki_Atta (1KG)
57,802b3c,STBLR-1,CAMP_DIW_01,P15,3000,369.0,500 Cashback,2500,1007,Combo1,Atliq_Home_Essential_8_Product_Combo
58,6aae63,STMYS-2,CAMP_DIW_01,P13,350,63.0,BOGOF,175,189,Home Appliances,Atliq_High_Glo_15W_LED_Bulb
59,dc2bb1,STMYS-3,CAMP_SAN_01,P02,860,400.0,33% OFF,576,476,Grocery & Staples,Atliq_Sonamasuri_Rice (10KG)
60,60170c,STHYD-4,CAMP_DIW_01,P08,1190,63.0,BOGOF,595,208,Home Care,Atliq_Double_Bedsheet_set
61,bd3f78,STHYD-0,CAMP_DIW_01,P11,190,68.0,50% OFF,95,104,Personal Care,Atliq_Doodh_Kesar_Body_Lotion (200ML)
62,eb4f04,STMLR-0,CAMP_SAN_01,P15,3000,54.0,500 Cashback,2500,89,Combo1,Atliq_Home_Essential_8_Product_Combo
63,70c312,STHYD-4,CAMP_SAN_01,P13,350,78.0,BOGOF,175,534,Home Appliances,Atliq_High_Glo_15W_LED_Bulb
64,9779b0,STVSK-2,CAMP_DIW_01,P10,65,85.0,50% OFF,32,128,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
65,7641,STBLR-1,CAMP_SAN_01,P14,1020,97.0,BOGOF,510,257,Home Appliances,Atliq_waterproof_Immersion_Rod
66,4dca21,STVSK-1,CAMP_SAN_01,P04,370,252.0,BOGOF,185,985,Grocery & Staples,Atliq_Farm_Chakki_Atta (1KG)
67,aa76f1,STHYD-0,CAMP_SAN_01,P11,190,42.0,50% OFF,95,65,Personal Care,Atliq_Doodh_Kesar_Body_Lotion (200ML)
68,d42636,STBLR-6,CAMP_SAN_01,P05,55,25.0,25% OFF,41,20,Home Care,Atliq_Scrub_Sponge_For_Dishwash
69,c6693c,STBLR-1,CAMP_SAN_01,P04,370,413.0,BOGOF,185,1102,Grocery & Staples,Atliq_Farm_Chakki_Atta (1KG)
70,34395c,STBLR-0,CAMP_DIW_01,P15,3000,434.0,500 Cashback,2500,1514,Combo1,Atliq_Home_Essential_8_Product_Combo
71,f23d14,STHYD-1,CAMP_SAN_01,P05,55,25.0,25% OFF,41,21,Home Care,Atliq_Scrub_Sponge_For_Dishwash
72,8.25E+90,STBLR-3,CAMP_DIW_01,P05,55,112.0,25% OFF,41,88,Home Care,Atliq_Scrub_Sponge_For_Dishwash
73,ed0d01,STBLR-2,CAMP_DIW_01,P12,62,108.0,50% OFF,31,145,Personal Care,Atliq_Lime_Cool_Bathing_Bar (125GM)
74,fad26a,STCHE-3,CAMP_DIW_01,P01,172,369.0,33% OFF,115,546,Grocery & Staples,Atliq_Masoor_Dal (1KG)
75,e88818,STCHE-7,CAMP_DIW_01,P06,415,82.0,25% OFF,311,79,Home Care,Atliq_Fusion_Container_Set_of_3
76,b110d3,STCBE-3,CAMP_SAN_01,P06,415,18.0,25% OFF,311,14,Home Care,Atliq_Fusion_Container_Set_of_3
77,6ed2f5,STBLR-4,CAMP_DIW_01,P13,350,84.0,BOGOF,175,285,Home Appliances,Atliq_High_Glo_15W_LED_Bulb
78,4236be,STTRV-0,CAMP_SAN_01,P14,1020,70.0,BOGOF,510,280,Home Appliances,Atliq_waterproof_Immersion_Rod
79,268ca2,STVJD-0,CAMP_SAN_01,P15,3000,63.0,500 Cashback,2500,151,Combo1,Atliq_Home_Essential_8_Product_Combo
80,06c981,STHYD-2,CAMP_DIW_01,P14,1020,42.0,BOGOF,510,139,Home Appliances,Atliq_waterproof_Immersion_Rod
81,b6b840,STCBE-1,CAMP_DIW_01,P02,860,244.0,33% OFF,576,312,Grocery & Staples,Atliq_Sonamasuri_Rice (10KG)
82,8829ef,STCBE-0,CAMP_SAN_01,P12,62,39.0,50% OFF,31,61,Personal Care,Atliq_Lime_Cool_Bathing_Bar (125GM)
83,41d6bd,STCHE-1,CAMP_SAN_01,P03,200,424.0,BOGOF,100,1127,Grocery & Staples,Atliq_Suflower_Oil (1L)
84,d2a08d,STCHE-5,CAMP_DIW_01,P10,65,141.0,50% OFF,32,157,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
85,8b729b,STMDU-2,CAMP_SAN_01,P02,860,319.0,33% OFF,576,379,Grocery & Staples,Atliq_Sonamasuri_Rice (10KG)
86,223d36,STMYS-0,CAMP_DIW_01,P10,65,129.0,50% OFF,32,167,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
87,85e08f,STVSK-4,CAMP_DIW_01,P08,1190,50.0,BOGOF,595,152,Home Care,Atliq_Double_Bedsheet_set
88,1e9a06,STCHE-4,CAMP_DIW_01,P13,350,84.0,BOGOF,175,338,Home Appliances,Atliq_High_Glo_15W_LED_Bulb
89,861506,STCHE-6,CAMP_DIW_01,P03,156,334.0,25% OFF,117,260,Grocery & Staples,Atliq_Suflower_Oil (1L)
90,fedf26,STMLR-2,CAMP_SAN_01,P10,50,19.0,25% OFF,37,15,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
91,ce95b1,STCHE-2,CAMP_DIW_01,P12,62,119.0,50% OFF,31,138,Personal Care,Atliq_Lime_Cool_Bathing_Bar (125GM)
92,2e3594,STMDU-0,CAMP_DIW_01,P13,350,61.0,BOGOF,175,237,Home Appliances,Atliq_High_Glo_15W_LED_Bulb
93,46021e,STCHE-1,CAMP_SAN_01,P07,300,31.0,BOGOF,150,79,Home Care,Atliq_Curtains
94,8e97d1,STBLR-7,CAMP_SAN_01,P09,90,72.0,25% OFF,67,58,Personal Care,Atliq_Body_Milk_Nourishing_Lotion (120ML)
95,716abd,STMYS-1,CAMP_SAN_01,P08,1190,54.0,BOGOF,595,238,Home Care,Atliq_Double_Bedsheet_set
96,413f48,STVSK-0,CAMP_SAN_01,P14,1020,61.0,BOGOF,510,234,Home Appliances,Atliq_waterproof_Immersion_Rod
97,aa6972,STMDU-0,CAMP_DIW_01,P12,62,103.0,50% OFF,31,131,Personal Care,Atliq_Lime_Cool_Bathing_Bar (125GM)
98,c8ce63,STMDU-0,CAMP_DIW_01,P15,3000,369.0,500 Cashback,2500,1221,Combo1,Atliq_Home_Essential_8_Product_Combo
99,3968a6,STMYS-3,CAMP_SAN_01,P05,55,19.0,25% OFF,41,16,Home Care,Atliq_Scrub_Sponge_For_Dishwash
100,166989,STCBE-1,CAMP_SAN_01,P01,172,169.0,33% OFF,115,206,Grocery & Staples,Atliq_Masoor_Dal (1KG)
101,ffb109,STVSK-2,CAMP_DIW_01,P15,3000,204.0,500 Cashback,2500,589,Combo1,Atliq_Home_Essential_8_Product_Combo
102,ff43bf,STHYD-2,CAMP_DIW_01,P11,190,91.0,50% OFF,95,116,Personal Care,Atliq_Doodh_Kesar_Body_Lotion (200ML)
103,dee3e9,STCBE-0,CAMP_SAN_01,P03,200,384.0,BOGOF,100,1509,Grocery & Staples,Atliq_Suflower_Oil (1L)
104,b9b7dd,STBLR-3,CAMP_DIW_01,P12,62,126.0,50% OFF,31,157,Personal Care,Atliq_Lime_Cool_Bathing_Bar (125GM)
105,3c0536,STBLR-4,CAMP_SAN_01,P03,200,415.0,BOGOF,100,1622,Grocery & Staples,Atliq_Suflower_Oil (1L)
106,4a5884,STHYD-0,CAMP_SAN_01,P12,62,57.0,50% OFF,31,90,Personal Care,Atliq_Lime_Cool_Bathing_Bar (125GM)
107,a80b87,STVSK-0,CAMP_DIW_01,P11,190,49.0,50% OFF,95,76,Personal Care,Atliq_Doodh_Kesar_Body_Lotion (200ML)
108,feadc3,STCBE-0,CAMP_SAN_01,P05,55,21.0,25% OFF,41,19,Home Care,Atliq_Scrub_Sponge_For_Dishwash
109,61b929,STVSK-2,CAMP_DIW_01,P14,1020,33.0,BOGOF,510,109,Home Appliances,Atliq_waterproof_Immersion_Rod
110,1824c2,STHYD-6,CAMP_SAN_01,P12,62,67.0,50% OFF,31,93,Personal Care,Atliq_Lime_Cool_Bathing_Bar (125GM)
111,e025ee,STVSK-1,CAMP_SAN_01,P07,300,27.0,BOGOF,150,107,Home Care,Atliq_Curtains
112,3cb389,STCHE-6,CAMP_DIW_01,P01,172,309.0,33% OFF,115,460,Grocery & Staples,Atliq_Masoor_Dal (1KG)
113,d304f9,STCHE-5,CAMP_DIW_01,P04,290,309.0,25% OFF,217,268,Grocery & Staples,Atliq_Farm_Chakki_Atta (1KG)
114,a9d059,STCHE-7,CAMP_DIW_01,P14,1020,50.0,BOGOF,510,202,Home Appliances,Atliq_waterproof_Immersion_Rod
115,583386,STBLR-9,CAMP_SAN_01,P08,1190,63.0,BOGOF,595,254,Home Care,Atliq_Double_Bedsheet_set
116,93118f,STVSK-0,CAMP_SAN_01,P03,200,261.0,BOGOF,100,1041,Grocery & Staples,Atliq_Suflower_Oil (1L)
117,21a8a0,STBLR-4,CAMP_SAN_01,P01,172,286.0,33% OFF,115,394,Grocery & Staples,Atliq_Masoor_Dal (1KG)
118,d31787,STMYS-2,CAMP_SAN_01,P10,50,78.0,25% OFF,37,20,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
119,e918c8,STBLR-4,CAMP_SAN_01,P09,90,66.0,25% OFF,67,56,Personal Care,Atliq_Body_Milk_Nourishing_Lotion (120ML)
120,b999c5,STMYS-2,CAMP_SAN_01,P03,200,406.0,BOGOF,100,1015,Grocery & Staples,Atliq_Suflower_Oil (1L)
121,627200,STCBE-4,CAMP_DIW_01,P14,1020,36.0,BOGOF,510,111,Home Appliances,Atliq_waterproof_Immersion_Rod
122,ffdcb8,STHYD-6,CAMP_SAN_01,P02,860,454.0,33% OFF,576,644,Grocery & Staples,Atliq_Sonamasuri_Rice (10KG)
123,ef7122,STMLR-1,CAMP_DIW_01,P15,3000,211.0,500 Cashback,2500,614,Combo1,Atliq_Home_Essential_8_Product_Combo
124,4b515c,STVJD-1,CAMP_SAN_01,P02,860,274.0,33% OFF,576,394,Grocery & Staples,Atliq_Sonamasuri_Rice (10KG)
125,4ad12b,STBLR-4,CAMP_DIW_01,P15,3000,407.0,500 Cashback,2500,1245,Combo1,Atliq_Home_Essential_8_Product_Combo
126,353060,STBLR-7,CAMP_SAN_01,P11,190,45.0,50% OFF,95,73,Personal Care,Atliq_Doodh_Kesar_Body_Lotion (200ML)
127,6f3721,STMDU-3,CAMP_SAN_01,P13,350,118.0,BOGOF,175,464,Home Appliances,Atliq_High_Glo_15W_LED_Bulb
128,0d70f7,STVSK-2,CAMP_DIW_01,P01,172,210.0,33% OFF,115,367,Grocery & Staples,Atliq_Masoor_Dal (1KG)
129,d58c29,STVSK-2,CAMP_SAN_01,P08,1190,27.0,BOGOF,595,107,Home Care,Atliq_Double_Bedsheet_set
130,70e65e,STCBE-0,CAMP_DIW_01,P15,3000,320.0,500 Cashback,2500,937,Combo1,Atliq_Home_Essential_8_Product_Combo
131,35701b,STVJD-0,CAMP_DIW_01,P04,290,192.0,25% OFF,217,188,Grocery & Staples,Atliq_Farm_Chakki_Atta (1KG)
132,f199be,STBLR-6,CAMP_DIW_01,P06,415,87.0,25% OFF,311,78,Home Care,Atliq_Fusion_Container_Set_of_3
133,0a453f,STMYS-0,CAMP_DIW_01,P03,156,301.0,25% OFF,117,264,Grocery & Staples,Atliq_Suflower_Oil (1L)
134,62769f,STMDU-3,CAMP_SAN_01,P05,55,16.0,25% OFF,41,12,Home Care,Atliq_Scrub_Sponge_For_Dishwash
135,f6aa36,STVSK-3,CAMP_DIW_01,P06,415,63.0,25% OFF,311,54,Home Care,Atliq_Fusion_Container_Set_of_3
136,261bd6,STCHE-0,CAMP_DIW_01,P02,860,308.0,33% OFF,576,452,Grocery & Staples,Atliq_Sonamasuri_Rice (10KG)
137,191614,STMYS-3,CAMP_DIW_01,P10,65,103.0,50% OFF,32,109,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
138,a672df,STMDU-1,CAMP_SAN_01,P12,62,36.0,50% OFF,31,49,Personal Care,Atliq_Lime_Cool_Bathing_Bar (125GM)
139,870b25,STMYS-0,CAMP_SAN_01,P04,370,418.0,BOGOF,185,1116,Grocery & Staples,Atliq_Farm_Chakki_Atta (1KG)
140,141d98,STCHE-4,CAMP_SAN_01,P03,200,78.0,BOGOF,100,1695,Grocery & Staples,Atliq_Suflower_Oil (1L)
141,1fa488,STVJD-0,CAMP_DIW_01,P07,300,31.0,BOGOF,150,105,Home Care,Atliq_Curtains
142,1274dc,STCBE-4,CAMP_DIW_01,P09,110,54.0,50% OFF,55,68,Personal Care,Atliq_Body_Milk_Nourishing_Lotion (120ML)
143,bcbc28,STVSK-1,CAMP_DIW_01,P02,860,253.0,33% OFF,576,389,Grocery & Staples,Atliq_Sonamasuri_Rice (10KG)
144,269cec,STBLR-6,CAMP_SAN_01,P02,860,532.0,33% OFF,576,813,Grocery & Staples,Atliq_Sonamasuri_Rice (10KG)
145,fb2c04,STVSK-0,CAMP_SAN_01,P08,1190,28.0,BOGOF,595,108,Home Care,Atliq_Double_Bedsheet_set
146,2.70E+61,STHYD-1,CAMP_DIW_01,P05,55,110.0,25% OFF,41,96,Home Care,Atliq_Scrub_Sponge_For_Dishwash
147,2b0a40,STHYD-2,CAMP_DIW_01,P13,350,82.0,BOGOF,175,273,Home Appliances,Atliq_High_Glo_15W_LED_Bulb
148,6d343d,STHYD-6,CAMP_DIW_01,P12,62,133.0,50% OFF,31,167,Personal Care,Atliq_Lime_Cool_Bathing_Bar (125GM)
149,df380c,STBLR-5,CAMP_SAN_01,P05,55,25.0,25% OFF,41,21,Home Care,Atliq_Scrub_Sponge_For_Dishwash
150,e67501,STVSK-4,CAMP_SAN_01,P13,350,85.0,BOGOF,175,215,Home Appliances,Atliq_High_Glo_15W_LED_Bulb
151,bdf2b8,STVJD-1,CAMP_DIW_01,P12,62,56.0,50% OFF,31,71,Personal Care,Atliq_Lime_Cool_Bathing_Bar (125GM)
152,6c1493,STVJD-1,CAMP_SAN_01,P15,3000,66.0,500 Cashback,2500,144,Combo1,Atliq_Home_Essential_8_Product_Combo
153,6846a8,STVSK-0,CAMP_DIW_01,P04,290,201.0,25% OFF,217,174,Grocery & Staples,Atliq_Farm_Chakki_Atta (1KG)
154,a35a4f,STCHE-6,CAMP_DIW_01,P10,65,122.0,50% OFF,32,153,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
155,86206,STHYD-1,CAMP_SAN_01,P14,1020,102.0,BOGOF,510,279,Home Appliances,Atliq_waterproof_Immersion_Rod
156,4ca50a,STHYD-3,CAMP_DIW_01,P08,1190,50.0,BOGOF,595,156,Home Care,Atliq_Double_Bedsheet_set
157,04da18,STVSK-4,CAMP_SAN_01,P03,200,223.0,BOGOF,100,604,Grocery & Staples,Atliq_Suflower_Oil (1L)
158,e97ac0,STTRV-0,CAMP_SAN_01,P12,62,22.0,50% OFF,31,30,Personal Care,Atliq_Lime_Cool_Bathing_Bar (125GM)
159,c25b15,STHYD-6,CAMP_DIW_01,P07,300,63.0,BOGOF,150,218,Home Care,Atliq_Curtains
160,793873,STVSK-2,CAMP_DIW_01,P03,156,248.0,25% OFF,117,225,Grocery & Staples,Atliq_Suflower_Oil (1L)
161,aa1bbd,STCBE-0,CAMP_SAN_01,P10,50,25.0,25% OFF,37,22,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
162,873333,STMLR-0,CAMP_DIW_01,P15,3000,78.0,500 Cashback,2500,509,Combo1,Atliq_Home_Essential_8_Product_Combo
163,eb967c,STMYS-1,CAMP_SAN_01,P15,3000,133.0,500 Cashback,2500,383,Combo1,Atliq_Home_Essential_8_Product_Combo
164,b17786,STMLR-0,CAMP_SAN_01,P13,350,63.0,BOGOF,175,163,Home Appliances,Atliq_High_Glo_15W_LED_Bulb
165,db76f3,STBLR-0,CAMP_DIW_01,P01,172,294.0,33% OFF,115,438,Grocery & Staples,Atliq_Masoor_Dal (1KG)
166,31b59d,STVSK-3,CAMP_SAN_01,P10,50,27.0,25% OFF,37,21,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
167,902903,STVSK-2,CAMP_DIW_01,P13,350,49.0,BOGOF,175,164,Home Appliances,Atliq_High_Glo_15W_LED_Bulb
168,0ffbbc,STTRV-1,CAMP_SAN_01,P09,90,30.0,25% OFF,67,28,Personal Care,Atliq_Body_Milk_Nourishing_Lotion (120ML)
169,ad783e,STCHE-4,CAMP_SAN_01,P10,50,30.0,25% OFF,37,25,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
170,f63299,STVSK-0,CAMP_DIW_01,P02,860,301.0,33% OFF,576,526,Grocery & Staples,Atliq_Sonamasuri_Rice (10KG)
171,66b476,STBLR-6,CAMP_DIW_01,P10,65,103.0,50% OFF,32,160,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
172,a6a18f,STHYD-6,CAMP_SAN_01,P06,415,34.0,25% OFF,311,27,Home Care,Atliq_Fusion_Container_Set_of_3
173,933f7e,STCHE-7,CAMP_DIW_01,P07,300,71.0,BOGOF,150,282,Home Care,Atliq_Curtains
174,0efde2,STCHE-7,CAMP_SAN_01,P03,200,448.0,BOGOF,100,1895,Grocery & Staples,Atliq_Suflower_Oil (1L)
175,41cb8f,STBLR-6,CAMP_DIW_01,P03,156,402.0,25% OFF,117,353,Grocery & Staples,Atliq_Suflower_Oil (1L)
176,fdd666,STMLR-0,CAMP_DIW_01,P06,415,38.0,25% OFF,311,33,Home Care,Atliq_Fusion_Container_Set_of_3
177,87bb82,STCBE-0,CAMP_SAN_01,P15,3000,126.0,500 Cashback,2500,275,Combo1,Atliq_Home_Essential_8_Product_Combo
178,e2f6b2,STCHE-1,CAMP_DIW_01,P15,3000,316.0,500 Cashback,2500,859,Combo1,Atliq_Home_Essential_8_Product_Combo
179,7ef92f,STHYD-5,CAMP_SAN_01,P07,300,55.0,BOGOF,150,213,Home Care,Atliq_Curtains
180,3ea7d6,STMYS-0,CAMP_SAN_01,P15,3000,105.0,500 Cashback,2500,173,Combo1,Atliq_Home_Essential_8_Product_Combo
181,221da2,STCBE-3,CAMP_SAN_01,P15,3000,91.0,500 Cashback,2500,211,Combo1,Atliq_Home_Essential_8_Product_Combo
182,4f255c,STHYD-1,CAMP_SAN_01,P08,1190,52.0,BOGOF,595,134,Home Care,Atliq_Double_Bedsheet_set
183,20d916,STCBE-1,CAMP_DIW_01,P07,300,57.0,BOGOF,150,188,Home Care,Atliq_Curtains
184,1192bc,STCBE-4,CAMP_DIW_01,P11,190,59.0,50% OFF,95,79,Personal Care,Atliq_Doodh_Kesar_Body_Lotion (200ML)
185,0d853d,STHYD-4,CAMP_SAN_01,P02,860,594.0,33% OFF,576,819,Grocery & Staples,Atliq_Sonamasuri_Rice (10KG)
186,667c78,STVSK-4,CAMP_SAN_01,P01,172,223.0,33% OFF,115,301,Grocery & Staples,Atliq_Masoor_Dal (1KG)
187,3100ef,STBLR-5,CAMP_SAN_01,P09,90,67.0,25% OFF,67,56,Personal Care,Atliq_Body_Milk_Nourishing_Lotion (120ML)
